folder,rel_path,full_path,duration_sec,bucket
collect/NCTB/DigitalTechnologyClass7,collect\NCTB\DigitalTechnologyClass7\0c660155-7295-43c7-801c-f1acaf0a03e9.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/DigitalTechnologyClass7\0c660155-7295-43c7-801c-f1acaf0a03e9.flac,26.239,"[25, 30)"
collect/NCTB/EconomicsClass9,collect\NCTB\EconomicsClass9\1f1fada3-611b-4218-bc79-c3ea5f421194.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/EconomicsClass9\1f1fada3-611b-4218-bc79-c3ea5f421194.flac,21.169,"[20, 25)"
collect/NCTB/GrahosthaBigganClass8,collect\NCTB\GrahosthaBigganClass8\c0e7e495-cef3-43aa-b289-d7af13c3bc3f.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/GrahosthaBigganClass8\c0e7e495-cef3-43aa-b289-d7af13c3bc3f.flac,31.688,[30+)
collect/NCTB/GrahosthaBigganClass9,collect\NCTB\GrahosthaBigganClass9\8f22f167-484a-4de1-989c-33e9833b8898.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/GrahosthaBigganClass9\8f22f167-484a-4de1-989c-33e9833b8898.flac,20.23,"[20, 25)"
collect/NCTB/HealthProtectionClass6,collect\NCTB\HealthProtectionClass6\ef74fb25-c637-4e89-a2a9-699e15cfce9c.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HealthProtectionClass6\ef74fb25-c637-4e89-a2a9-699e15cfce9c.flac,32.991,[30+)
collect/NCTB/HealthProtectionClass7,collect\NCTB\HealthProtectionClass7\44c21062-3a08-4ac0-a6df-0f42eba75a69.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HealthProtectionClass7\44c21062-3a08-4ac0-a6df-0f42eba75a69.flac,20.24,"[20, 25)"
collect/NCTB/HealthProtectionClass7,collect\NCTB\HealthProtectionClass7\00ff8a71-7935-4a05-bbd7-5898afc041e4.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HealthProtectionClass7\00ff8a71-7935-4a05-bbd7-5898afc041e4.flac,28.19,"[25, 30)"
collect/NCTB/HinduDharmaClass4,collect\NCTB\HinduDharmaClass4\5b0832a8-e1bf-4855-a9d5-9e5565915baf.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HinduDharmaClass4\5b0832a8-e1bf-4855-a9d5-9e5565915baf.flac,18.469,"[15, 20)"
collect/NCTB/HinduDharmaClass5,collect\NCTB\HinduDharmaClass5\3377a5f7-9d1d-4bc9-bf9a-59f46fd91d8c.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HinduDharmaClass5\3377a5f7-9d1d-4bc9-bf9a-59f46fd91d8c.flac,15.95,"[15, 20)"
collect/NCTB/HinduDharmaClass5,collect\NCTB\HinduDharmaClass5\8018cd24-7233-4805-81e5-6471daf82cff.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HinduDharmaClass5\8018cd24-7233-4805-81e5-6471daf82cff.flac,16.48,"[15, 20)"
collect/NCTB/HinduDharmaClass6,collect\NCTB\HinduDharmaClass6\ef9c2e87-c00a-4911-84e1-99c60d206878.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HinduDharmaClass6\ef9c2e87-c00a-4911-84e1-99c60d206878.flac,11.17,"[10, 15)"
collect/NCTB/HinduDharmaClass7,collect\NCTB\HinduDharmaClass7\bedc17e4-0946-441e-b081-366fb45ef611.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HinduDharmaClass7\bedc17e4-0946-441e-b081-366fb45ef611.flac,10.16,"[10, 15)"
collect/NCTB/HistoryAndSocialScienceAnushandhaniBookClass6,collect\NCTB\HistoryAndSocialScienceAnushandhaniBookClass6\bea7de70-7eb7-46cc-9931-8c266ca5028c.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HistoryAndSocialScienceAnushandhaniBookClass6\bea7de70-7eb7-46cc-9931-8c266ca5028c.flac,21.34,"[20, 25)"
collect/NCTB/HistoryAndSocialScienceAnushilonBookClass6,collect\NCTB\HistoryAndSocialScienceAnushilonBookClass6\15e5caee-4604-4f1b-b675-7c16d3d2949e.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HistoryAndSocialScienceAnushilonBookClass6\15e5caee-4604-4f1b-b675-7c16d3d2949e.flac,24.629,"[20, 25)"
collect/NCTB/HistoryAndSocialScienceAnushilonBookClass7,collect\NCTB\HistoryAndSocialScienceAnushilonBookClass7\60143a04-0553-447a-9333-828ebc42386a.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/HistoryAndSocialScienceAnushilonBookClass7\60143a04-0553-447a-9333-828ebc42386a.flac,24.102,"[20, 25)"
collect/NCTB/ICTClass8,collect\NCTB\ICTClass8\8dcba001-f0c9-4731-bc26-6898626408a8.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ICTClass8\8dcba001-f0c9-4731-bc26-6898626408a8.flac,25.01,"[25, 30)"
collect/NCTB/ICTClass9,collect\NCTB\ICTClass9\9d3dd819-aa93-4744-a8d0-89053d8977f8.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ICTClass9\9d3dd819-aa93-4744-a8d0-89053d8977f8.flac,25.147,"[25, 30)"
collect/NCTB/IslamDharmaClass3,collect\NCTB\IslamDharmaClass3\da6d7b07-a095-41e3-b21c-01baecfdf7e2.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/IslamDharmaClass3\da6d7b07-a095-41e3-b21c-01baecfdf7e2.flac,12.379,"[10, 15)"
collect/NCTB/IslamDharmaClass4,collect\NCTB\IslamDharmaClass4\aa18a19d-e6ba-4a6f-bd3e-f30a2e634eef.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/IslamDharmaClass4\aa18a19d-e6ba-4a6f-bd3e-f30a2e634eef.flac,23.376,"[20, 25)"
collect/NCTB/IslamDharmaClass6DaisyMultImedia,collect\NCTB\IslamDharmaClass6DaisyMultImedia\3d7d32d7-e96a-44bd-ade0-ddda5bacaefb.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/IslamDharmaClass6DaisyMultImedia\3d7d32d7-e96a-44bd-ade0-ddda5bacaefb.flac,11.668,"[10, 15)"
collect/NCTB/IslamDharmaClass7,collect\NCTB\IslamDharmaClass7\3af3a8f6-33f3-413f-815f-b61ac290acac.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/IslamDharmaClass7\3af3a8f6-33f3-413f-815f-b61ac290acac.flac,28.29,"[25, 30)"
collect/NCTB/JibonOJibikaClass6,collect\NCTB\JibonOJibikaClass6\ce907ab6-191d-41ab-b259-7ba946cbeede.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/JibonOJibikaClass6\ce907ab6-191d-41ab-b259-7ba946cbeede.flac,17.218,"[15, 20)"
collect/NCTB/JibonOJibikaClass7,collect\NCTB\JibonOJibikaClass7\88d25f56-ec3c-489e-8d53-06cd75a0b1ac.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/JibonOJibikaClass7\88d25f56-ec3c-489e-8d53-06cd75a0b1ac.flac,26.04,"[25, 30)"
collect/NCTB/KarmaOJibonMukhiClass8,collect\NCTB\KarmaOJibonMukhiClass8\548fa53a-9f95-495e-8244-fee4f2a1b157.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/KarmaOJibonMukhiClass8\548fa53a-9f95-495e-8244-fee4f2a1b157.flac,27.369,"[25, 30)"
collect/NCTB/KrishiShikkhaClass8DaisyMulmedia,collect\NCTB\KrishiShikkhaClass8DaisyMulmedia\56d596f0-81e2-4ba3-acdb-bc597071ad00.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/KrishiShikkhaClass8DaisyMulmedia\56d596f0-81e2-4ba3-acdb-bc597071ad00.flac,30.951,[30+)
collect/NCTB/KrishiShikkhaClass9,collect\NCTB\KrishiShikkhaClass9\f05d7bb8-047f-421f-bda3-055b338ebdab.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/KrishiShikkhaClass9\f05d7bb8-047f-421f-bda3-055b338ebdab.flac,34.719,[30+)
collect/NCTB/PouronitiONagorikotaClass9,collect\NCTB\PouronitiONagorikotaClass9\6d744963-5e7d-45f8-803e-adc08e332a10.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PouronitiONagorikotaClass9\6d744963-5e7d-45f8-803e-adc08e332a10.flac,34.379,[30+)
collect/NCTB/PrathamikGonitClass1,collect\NCTB\PrathamikGonitClass1\8fa6a8b2-c840-42b8-a5cd-74a4efbe5f61.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass1\8fa6a8b2-c840-42b8-a5cd-74a4efbe5f61.flac,19.574,"[15, 20)"
collect/NCTB/PrathamikGonitClass2,collect\NCTB\PrathamikGonitClass2\4808519e-8f96-4666-a1ca-008d183c3480.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass2\4808519e-8f96-4666-a1ca-008d183c3480.flac,19.6,"[15, 20)"
collect/NCTB/PrathamikGonitClass3,collect\NCTB\PrathamikGonitClass3\44b18264-509f-48d4-98d9-1fc7c9925c96.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass3\44b18264-509f-48d4-98d9-1fc7c9925c96.flac,20.98,"[20, 25)"
collect/NCTB/PrathamikGonitClass4,collect\NCTB\PrathamikGonitClass4\b2562dbe-7ba0-4c34-aa73-1bedfedc0381.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass4\b2562dbe-7ba0-4c34-aa73-1bedfedc0381.flac,32.56,[30+)
collect/NCTB/PrathamikGonitClass5,collect\NCTB\PrathamikGonitClass5\2ac565e4-9913-4ee5-9571-1191082a3e3b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass5\2ac565e4-9913-4ee5-9571-1191082a3e3b.flac,17.35,"[15, 20)"
collect/NCTB/PrathamikGonitClass8,collect\NCTB\PrathamikGonitClass8\fb299d8c-87f3-402a-b516-94f530ce613e.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/PrathamikGonitClass8\fb299d8c-87f3-402a-b516-94f530ce613e.flac,33.529,[30+)
collect/NCTB/ScienceAnushilonBookClass6,collect\NCTB\ScienceAnushilonBookClass6\e6796b36-54c3-40db-833a-0ffb1e70e3bc.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ScienceAnushilonBookClass6\e6796b36-54c3-40db-833a-0ffb1e70e3bc.flac,20.07,"[20, 25)"
collect/NCTB/ScienceAnushondhaniPathClass6,collect\NCTB\ScienceAnushondhaniPathClass6\e3b8bc3a-4da2-48d9-ab82-763b4debf2eb.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ScienceAnushondhaniPathClass6\e3b8bc3a-4da2-48d9-ab82-763b4debf2eb.flac,25.42,"[25, 30)"
collect/NCTB/ScienceAnushondhaniPathClass7,collect\NCTB\ScienceAnushondhaniPathClass7\a5c0e77e-3467-4775-a042-02ebceb56734.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ScienceAnushondhaniPathClass7\a5c0e77e-3467-4775-a042-02ebceb56734.flac,29.605,"[25, 30)"
collect/NCTB/ScienceClass8,collect\NCTB\ScienceClass8\eb77c528-fff1-41d6-9725-3b21fe966b94.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ScienceClass8\eb77c528-fff1-41d6-9725-3b21fe966b94.flac,31.498,[30+)
collect/NCTB/ScienceClass9,collect\NCTB\ScienceClass9\3a4c8f2a-77ed-49b0-bbb8-41a5daf3a7fc.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ScienceClass9\3a4c8f2a-77ed-49b0-bbb8-41a5daf3a7fc.flac,26.854,"[25, 30)"
collect/NCTB/SharirikhShikkhaOShasthaClass8,collect\NCTB\SharirikhShikkhaOShasthaClass8\1db034fb-5e9a-4e33-831b-c09c0110034b.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/SharirikhShikkhaOShasthaClass8\1db034fb-5e9a-4e33-831b-c09c0110034b.flac,19.753,"[15, 20)"
collect/NCTB/SharirikhShikkhaOShasthaClass9,collect\NCTB\SharirikhShikkhaOShasthaClass9\ef1f5285-d851-4bbf-af8b-8d084fadc3ca.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/SharirikhShikkhaOShasthaClass9\ef1f5285-d851-4bbf-af8b-8d084fadc3ca.flac,29.189,"[25, 30)"
collect/NCTB/ShilpoAbongSanskritiClass6,collect\NCTB\ShilpoAbongSanskritiClass6\c28c3fc7-ae9f-4ced-8f71-69f440d485f0.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ShilpoAbongSanskritiClass6\c28c3fc7-ae9f-4ced-8f71-69f440d485f0.flac,31.339,[30+)
collect/NCTB/ShilpoAbongSanskritiClass7,collect\NCTB\ShilpoAbongSanskritiClass7\67c6037e-d0dd-4261-8890-eef963d0bcc2.flac,D:\TTS D3\TTS D3 Data\collect/NCTB/ShilpoAbongSanskritiClass7\67c6037e-d0dd-4261-8890-eef963d0bcc2.flac,23.754,"[20, 25)"
collect/TalkingBook/1 Bangladesher Ridoy,collect\TalkingBook\1 Bangladesher Ridoy\40c8100b-83c8-4437-be6a-b63da257c5d5.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/1 Bangladesher Ridoy\40c8100b-83c8-4437-be6a-b63da257c5d5.flac,30.0,[30+)
collect/TalkingBook/1 Bolai,collect\TalkingBook\1 Bolai\4b710caa-c0e9-4035-bbdc-62e32c709dd5.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/1 Bolai\4b710caa-c0e9-4035-bbdc-62e32c709dd5.flac,30.0,[30+)
collect/TalkingBook/10 Bangladesher Khudra Jati Shatta,collect\TalkingBook\10 Bangladesher Khudra Jati Shatta\796014ca-de2b-45ba-8adf-83471c9f2925.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/10 Bangladesher Khudra Jati Shatta\796014ca-de2b-45ba-8adf-83471c9f2925.flac,30.0,[30+)
collect/TalkingBook/10 Eiakhre,collect\TalkingBook\10 Eiakhre\e155e598-5075-4b09-83a2-c29bb7b172bd.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/10 Eiakhre\e155e598-5075-4b09-83a2-c29bb7b172bd.flac,30.0,[30+)
collect/TalkingBook/10bangla noboborsho,collect\TalkingBook\10bangla noboborsho\ceedf716-c2d0-42c2-b618-71e050cfe402.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/10bangla noboborsho\ceedf716-c2d0-42c2-b618-71e050cfe402.flac,30.0,[30+)
collect/TalkingBook/10prarthi,collect\TalkingBook\10prarthi\6701af30-e916-416b-a61e-df755fb46bd5.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/10prarthi\6701af30-e916-416b-a61e-df755fb46bd5.flac,30.0,[30+)
collect/TalkingBook/11ekush,collect\TalkingBook\11ekush\63256f07-c01d-40aa-8c71-09c60ce050e7.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/11ekush\63256f07-c01d-40aa-8c71-09c60ce050e7.flac,30.0,[30+)
collect/TalkingBook/1manobdhormo,collect\TalkingBook\1manobdhormo\079395bb-128f-40a7-a195-032d51d5775d.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/1manobdhormo\079395bb-128f-40a7-a195-032d51d5775d.flac,26.773,"[25, 30)"
collect/TalkingBook/1otithi,collect\TalkingBook\1otithi\e5e3dfed-a699-40f1-a515-e2beea3d697a.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/1otithi\e5e3dfed-a699-40f1-a515-e2beea3d697a.flac,30.0,[30+)
collect/TalkingBook/2 Ananda,collect\TalkingBook\2 Ananda\58feb2b4-6d38-4fda-a7f6-cfd55cfc1d1b.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/2 Ananda\58feb2b4-6d38-4fda-a7f6-cfd55cfc1d1b.flac,30.0,[30+)
collect/TalkingBook/2 Library,collect\TalkingBook\2 Library\5bd99057-c66d-49de-9dcf-0f7c28873087.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/2 Library\5bd99057-c66d-49de-9dcf-0f7c28873087.flac,30.0,[30+)
collect/TalkingBook/2banglalir_bangla_golpo,collect\TalkingBook\2banglalir_bangla_golpo\39051e88-ace8-4e05-9667-5fc328e2256a.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/2banglalir_bangla_golpo\39051e88-ace8-4e05-9667-5fc328e2256a.flac,30.0,[30+)
collect/TalkingBook/2baongovumi er proti,collect\TalkingBook\2baongovumi er proti\791abf5c-cbde-4716-951d-27176c2e186e.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/2baongovumi er proti\791abf5c-cbde-4716-951d-27176c2e186e.flac,30.0,[30+)
collect/TalkingBook/3 Apurba,collect\TalkingBook\3 Apurba\cd360867-4fed-4f66-b050-52a254e11cb3.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/3 Apurba\cd360867-4fed-4f66-b050-52a254e11cb3.flac,30.0,[30+)
collect/TalkingBook/3 Mallodan,collect\TalkingBook\3 Mallodan\f93d0fd1-2f55-45ce-ada8-4896ed3660b8.flac,D:\TTS D3\TTS D3 Data\collect/TalkingBook/3 Mallodan\f93d0fd1-2f55-45ce-ada8-4896ed3660b8.flac,30.0,[30+)
